,first_group,second_group,third_group,fourth_group
134,0.0,0.9999999999999332,0.0,6.68275617749823e-14
135,0.0,0.9999999999999215,0.0,7.8505040623216e-14
136,0.0,0.9999999999999077,0.0,9.223224102504162e-14
137,0.0,0.9999999999998916,0.0,1.0837055980713054e-13
138,0.0,0.9999999999998725,0.0,1.2734539814485025e-13
139,0.0,0.9999999999998503,0.0,1.4965754734447964e-13
140,0.0,0.9999999999998241,0.0,1.7589660903122888e-13
141,0.0,0.9999999999997933,0.0,2.0675681485595947e-13
142,0.0,0.999999999999757,0.0,2.4305567664860206e-13
143,0.0,0.9999999999997142,0.0,2.857559756772832e-13
144,0.0,0.9999999999996639,0.0,3.359916914859171e-13
145,0.0,0.9999999999996049,0.0,3.9509857924212124e-13
146,0.0,0.9999999999995354,0.0,4.646502326625892e-13
147,0.0,0.9999999999994535,0.0,5.465006209799441e-13
148,0.0,0.9999999999993572,0.0,6.428342673146652e-13
149,0.0,0.9999999999992438,0.0,7.562254472362711e-13
150,0.0,0.9999999999991104,0.0,8.897080361770532e-13
151,0.0,0.9999999999989531,0.0,1.0468579297258101e-12
152,0.0,0.9999999999987681,0.0,1.2318903099941233e-12
153,0.0,0.9999999999985503,0.0,1.449774444056553e-12
154,0.0,0.9999999999982937,0.0,1.7063691885702379e-12
155,0.0,0.9999999999979915,0.0,2.008582951872613e-12
156,0.0,0.9999999999976353,0.0,2.3645625474703363e-12
157,0.0,0.9999999999972161,0.0,2.7839161802067012e-12
158,0.0,0.999999999996722,0.0,3.2779767614318807e-12
159,0.0,0.99999999999614,0.0,3.8601128793236955e-12
160,0.0,0.999999999995454,0.0,4.546096087246763e-12
161,0.0,0.9999999999946455,0.0,5.35453475475498e-12
162,0.0,0.9999999999936926,0.0,6.307386597629396e-12
163,0.0,0.9999999999925695,0.0,7.430564218629808e-12
164,0.0,0.9999999999912453,0.0,8.75465061273743e-12
165,0.0,0.9999999999896844,0.0,1.031574469461252e-11
166,0.0,0.9999999999878436,0.0,1.2156460580719737e-11
167,0.0,0.9999999999856729,0.0,1.4327108709507104e-11
168,0.0,0.999999999983113,9.859623e-318,1.6887092035139483e-11
169,0.0,0.9999999999800934,2.200652912726e-312,1.9906556631762532e-11
170,0.0,0.9999999999765318,4.4230051494700255e-307,2.3468343271810933e-11
171,0.0,0.9999999999723297,8.005008310873906e-302,2.7670295101839578e-11
172,0.0,0.9999999999673721,1.3046216381919633e-296,3.2627986679869984e-11
173,0.0,0.999999999961522,1.9146342152091463e-291,3.847795165242819e-11
174,0.0,0.9999999999546184,2.530262051025768e-286,4.538150058502521e-11
175,0.0,0.9999999999464707,3.011089305285195e-281,5.3529237329330097e-11
176,0.0,0.9999999999368536,3.2267121085509914e-276,6.314640230318975e-11
177,0.0,0.9999999999255008,3.113689121870497e-271,7.449919475680117e-11
178,0.0,0.9999999999120978,2.70563200901722e-266,8.790225418907216e-11
179,0.0,0.9999999998962724,2.1170965058923197e-261,1.0372751438068638e-10
180,0.0,0.9999999998775854,1.491732772878622e-256,1.2241468299582053e-10
181,0.0,0.9999999998555164,9.464983382094345e-252,1.444836465258118e-10
182,0.0,0.9999999998294509,5.407881042294203e-247,1.7054915587426286e-10
183,0.0,0.9999999997986617,2.782357006095459e-242,2.0133821373957104e-10
184,0.0,0.9999999997622894,1.2890715655038183e-237,2.3771066306802943e-10
185,0.0,0.9999999997193164,5.377985858344148e-233,2.8068356852104277e-10
186,0.0,0.9999999996685399,2.020415710485429e-228,3.31460092846925e-10
187,0.0,0.9999999996085364,6.835027623007601e-224,3.9146370050602826e-10
188,0.0,0.9999999995376213,2.0821800000422202e-219,4.6237867571112123e-10
189,0.0,0.9999999994538019,5.711822868014802e-215,5.46198125779571e-10
190,0.0,0.9999999993547191,1.4109436213842142e-210,6.45280858776739e-10
191,0.0,0.9999999992375812,3.138506751952415e-206,7.624187833104882e-10
192,0.0,0.9999999990990832,6.286587453820773e-202,9.009167856804612e-10
193,0.0,0.9999999989353127,1.1339276796755637e-197,1.0646874045052e-09
194,0.0,0.9999999987416369,1.8417652359550721e-193,1.2583630562783082e-09
195,0.0,0.999999998512571,2.6937775483850012e-189,1.4874290799221269e-09
196,0.0,0.9999999982416184,3.5478705166165063e-185,1.7583814796299087e-09
197,0.0,0.9999999979210861,4.2077740432522206e-181,2.078913971329726e-09
198,0.0,0.9999999975418602,4.493820591023348e-177,2.458139800629199e-09
199,0.0,0.9999999970931451,4.321731599345354e-173,2.9068548248785327e-09
200,0.0,0.9999999965621504,3.742645458221628e-169,3.4378495696760554e-09
201,0.0,0.9999999959337207,2.918626630329148e-165,4.066279417208383e-09
202,0.0,0.9999999951898962,2.049545226510348e-161,4.81010380366522e-09
203,0.0,0.9999999943093927,1.2960321880571258e-157,5.690607347242627e-09
204,0.0,0.9999999932669817,7.379953888524891e-154,6.733018258414644e-09
205,0.0,0.9999999920327578,3.7841768678413797e-150,7.967242273373192e-09
206,0.0,0.9999999905712663,1.7473083758452966e-146,9.428733786907207e-09
207,0.0,0.99999998884047,7.265217234269838e-143,1.1159529946199372e-08
208,0.0,0.9999999867905216,2.720252894673383e-139,1.3209478325528926e-08
209,0.0,0.9999999843623054,9.171756277977505e-136,1.563769458069874e-08
210,0.0,0.9999999814857066,2.7847066256902815e-132,1.851429335624801e-08
211,0.0,0.999999978077556,7.613627030573882e-129,2.1922443896717e-08
212,0.0,0.9999999740391885,1.8745233225197653e-125,2.5960811543822548e-08
213,0.0,0.9999999692535421,4.156038837257863e-122,3.074645788034159e-08
214,0.0,0.999999963581714,8.2977602014824e-119,3.6418286061412325e-08
215,0.0,0.9999999568588657,1.4918959182734788e-115,4.31411342750403e-08
216,0.0,0.9999999488893603,2.415557371084345e-112,5.111063979659938e-08
217,0.0,0.9999999394409806,3.522114169823775e-109,6.055901934388302e-08
218,0.0,0.9999999282380609,4.624921152775926e-106,7.176193911122091e-08
219,0.0,0.9999999149533191,5.469272363265175e-103,8.50466808114511e-08
220,0.0,0.9999998991981507,5.824932591545498e-100,1.0080184929431207e-07
221,0.0,0.999999880511086,5.587314022913134e-97,1.1948891404481945e-07
222,0.0,0.9999998583440675,4.82707762270417e-94,1.416559325332902e-07
223,0.0,0.9999998320461303,3.7562716328895025e-91,1.6795386970474398e-07
224,0.0,0.9999998008439931,2.6329879823062154e-88,1.9915600690494476e-07
225,0.0,0.9999997638189724,1.662623376918619e-85,2.3618102768343566e-07
226,0.0,0.9999997198795199,9.45874408176252e-83,2.8012048010174416e-07
227,0.0,0.9999996677285511,4.8486195428887995e-80,3.32271448880958e-07
