,first_group,second_group
257,1.0028269501222664e-194,1.0
258,2.0360747993484307e-196,1.0
259,4.133913088405112e-198,1.0
260,8.393224439577662e-200,1.0
261,1.7041044616209825e-201,1.0
262,3.4598994132974467e-203,1.0
263,7.024745840614539e-205,1.0
264,1.4262565180726764e-206,1.0
265,2.8957732544820302e-208,1.0
266,5.879377521975738e-210,1.0
267,1.1937077892735677e-211,1.0
268,2.4236203668909503e-213,1.0
269,4.920747099384483e-215,1.0
270,9.990733705993579e-217,1.0
271,2.0284467379238474e-218,1.0
272,4.11841134392623e-220,1.0
273,8.361721955401016e-222,1.0
274,1.6977025913473243e-223,1.0
275,3.446889728349666e-225,1.0
276,6.998308087918808e-227,1.0
277,1.4208839720826148e-228,1.0
278,2.8848554930258517e-230,1.0
279,5.857191220138883e-232,1.0
280,1.1891992683103015e-233,1.0
281,2.414458560008191e-235,1.0
282,4.9021293988540916e-237,1.0
283,9.952900876949205e-239,1.0
284,2.0207588070507117e-240,1.0
285,4.1027889350958954e-242,1.0
286,8.329976291861189e-244,1.0
287,1.69125171520431e-245,1.0
288,3.4337812921161966e-247,1.0
289,6.971671354811087e-249,1.0
290,1.4154713347673664e-250,1.0
291,2.8738569592375943e-252,1.0
292,5.834842196197092e-254,1.0
293,1.1846579678873717e-255,1.0
294,2.4052307251601074e-257,1.0
295,4.883378706638227e-259,1.0
296,9.914800198261136e-261,1.0
297,2.013016934157107e-262,1.0
298,4.087057900604387e-264,1.0
299,8.298011899372322e-266,1.0
300,1.6847567989688978e-267,1.0
301,3.4205841897432674e-269,1.0
302,6.944856123241721e-271,1.0
303,1.4100227657548917e-272,1.0
304,2.8627861006861365e-274,1.0
305,5.812347605638359e-276,1.0
306,1.180087371927237e-277,1.0
307,2.395943937372196e-279,1.0
308,4.864509390251484e-281,1.0
309,9.876460846173604e-283,1.0
310,2.0052270440101147e-284,1.0
311,4.07123027160545e-286,1.0
312,8.26585320871867e-288,1.0
313,1.6782228035551838e-289,1.0
314,3.4073084947266376e-291,1.0
315,6.917882847896585e-293,1.0
316,1.4045424184052337e-294,1.0
317,2.851651350729193e-296,1.0
318,5.789724572085326e-298,1.0
319,1.1754909572719286e-299,1.0
320,2.3866052560554918e-301,1.0
321,4.845535782993382e-303,1.0
322,9.837911922369907e-305,1.0
323,1.9973950452038406e-306,1.0
324,4.055318044405742e-308,1.0
325,8.2335245886243e-310,1.0
326,1.6716544416296e-311,1.0
327,3.3939898259e-313,1.0
328,6.885673826e-315,1.0
329,1.386772e-316,1.0
330,0.0,1.0
331,0.0,1.0
332,0.0,1.0
333,0.0,1.0
334,0.0,1.0
335,0.0,1.0
336,0.0,1.0
337,0.0,1.0
338,0.0,1.0
339,0.0,1.0
340,0.0,1.0
341,0.0,1.0
342,0.0,1.0
343,0.0,1.0
344,0.0,1.0
345,0.0,1.0
346,0.0,1.0
347,0.0,1.0
348,0.0,1.0
349,0.0,1.0
350,0.0,1.0
351,0.0,1.0
352,0.0,1.0
353,0.0,1.0
354,0.0,1.0
355,0.0,1.0
356,0.0,1.0
357,0.0,1.0
358,0.0,1.0
359,0.0,1.0
360,0.0,1.0
361,0.0,1.0
362,0.0,1.0
363,0.0,1.0
364,0.0,1.0
365,0.0,1.0
366,0.0,1.0
367,0.0,1.0
368,0.0,1.0
369,0.0,1.0
370,0.0,1.0
371,0.0,1.0
372,0.0,1.0
373,0.0,1.0
374,0.0,1.0
375,0.0,1.0
376,0.0,1.0
377,0.0,1.0
378,0.0,1.0
379,0.0,1.0
380,0.0,1.0
381,0.0,1.0
382,0.0,1.0
383,0.0,1.0
384,0.0,1.0
385,0.0,1.0
386,0.0,1.0
387,0.0,1.0
388,0.0,1.0
389,0.0,1.0
390,0.0,1.0
391,0.0,1.0
392,0.0,1.0
393,0.0,1.0
394,0.0,1.0
395,0.0,1.0
396,0.0,1.0
397,0.0,1.0
398,0.0,1.0
399,0.0,1.0
400,0.0,1.0
401,0.0,1.0
402,0.0,1.0
403,0.0,1.0
404,0.0,1.0
405,0.0,1.0
406,0.0,1.0
407,0.0,1.0
408,0.0,1.0
409,0.0,1.0
410,0.0,1.0
411,0.0,1.0
412,0.0,1.0
413,0.0,1.0
414,0.0,1.0
415,0.0,1.0
416,0.0,1.0
417,0.0,1.0
418,0.0,1.0
419,0.0,1.0
420,0.0,1.0
421,0.0,1.0
422,0.0,1.0
423,0.0,1.0
424,0.0,1.0
425,0.0,1.0
426,0.0,1.0
427,0.0,1.0
428,0.0,1.0
429,0.0,1.0
430,0.0,1.0
431,0.0,1.0
432,0.0,1.0
433,0.0,1.0
434,0.0,1.0
435,0.0,1.0
436,0.0,1.0
437,0.0,1.0
438,0.0,1.0
439,0.0,1.0
440,0.0,1.0
441,0.0,1.0
442,0.0,1.0
443,0.0,1.0
444,0.0,1.0
445,0.0,1.0
446,0.0,1.0
447,0.0,1.0
448,0.0,1.0
449,0.0,1.0
450,0.0,1.0
451,0.0,1.0
452,0.0,1.0
453,0.0,1.0
454,0.0,1.0
455,0.0,1.0
456,0.0,1.0
457,0.0,1.0
458,0.0,1.0
459,0.0,1.0
460,0.0,1.0
461,0.0,1.0
462,0.0,1.0
463,0.0,1.0
464,0.0,1.0
465,0.0,1.0
466,0.0,1.0
467,0.0,1.0
468,0.0,1.0
469,0.0,1.0
470,0.0,1.0
471,0.0,1.0
472,0.0,1.0
473,0.0,1.0
474,0.0,1.0
475,0.0,1.0
476,0.0,1.0
477,0.0,1.0
478,0.0,1.0
479,0.0,1.0
480,0.0,1.0
481,0.0,1.0
482,0.0,1.0
483,0.0,1.0
484,0.0,1.0
485,0.0,1.0
486,0.0,1.0
487,0.0,1.0
488,0.0,1.0
489,0.0,1.0
490,0.0,1.0
491,0.0,1.0
492,0.0,1.0
493,0.0,1.0
494,0.0,1.0
495,0.0,1.0
496,0.0,1.0
497,0.0,1.0
498,0.0,1.0
499,0.0,1.0
